BookingID,ArrivalYear,ArrivalMonth,ArrivalWeekNumber,ArrivalDayOfMonth,ArrivalHour,WeekendStays,WeekdayStays,Adults,Children,Babies,FirstTimeGuest,AffiliatedCustomer,PreviousReservations,PreviousStays,PreviousCancellations,DaysUntilConfirmation,OnlineReservation,BookingChanges,BookingToArrivalDays,ParkingSpacesBooked,SpecialRequests,PartOfGroup,CompanyReservation,OrderedMealsPerDay,FloorReserved,FloorAssigned,DailyRateEuros,DailyRateUSD,%PaidinAdvance,CountryofOriginAvgIncomeEuros (Year-2),CountryofOriginAvgIncomeEuros (Year-1),CountryofOriginHDI (Year-1)
16833,2016,1,1,1,16.5,0,2,2,0.0,0,1,1,1,0,1,0,1,0,95,0,1,0,1,1,6,6,106.2,105.138,0.0,28742.44,29668.86,0.842
12997,2016,1,1,1,18.0,0,2,2,0.0,0,1,0,0,0,0,0,1,0,46,0,0,0,1,1,6,6,71.0,70.29,0.0,47011.55,47683.79,0.933
14155,2016,1,1,1,18.75,0,2,2,0.0,0,1,0,0,0,0,0,1,0,30,0,1,0,1,0,6,6,92.0,91.08,0.0,55032.96,56803.47,0.92
20538,2016,1,1,1,19.0,2,2,2,2.0,0,1,0,0,0,0,0,1,0,25,0,0,0,1,1,5,5,178.25,176.4675,0.0,33525.74,34912.48,0.885
33756,2016,1,1,1,20.0,0,1,2,0.0,0,1,0,0,0,0,0,1,1,119,0,0,0,1,1,6,6,74.25,73.5075,0.0,28742.44,29668.86,0.842
13118,2016,1,1,1,20.25,1,2,1,0.0,0,1,0,0,0,0,0,0,0,43,0,0,0,1,1,6,6,80.0,79.2,0.0,28742.44,29668.86,0.842
15665,2016,1,1,1,20.5,2,5,2,0.0,0,1,0,0,0,0,0,1,0,91,0,0,0,1,1,6,6,43.43,42.9957,0.0,28742.44,29668.86,0.842
10601,2016,1,1,1,20.75,0,1,2,0.0,0,1,0,0,0,0,0,0,0,43,0,0,0,1,1,6,6,107.0,105.93,0.0,33525.74,34912.48,0.885
22766,2016,1,1,1,21.75,0,1,2,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,6,6,105.0,103.95,0.0,11460.35,11598.86,0.728
26845,2016,1,1,1,22.75,1,2,2,0.0,0,1,0,0,0,0,0,1,0,19,0,1,0,1,1,6,6,81.82,81.00179999999999,0.0,28742.44,29668.86,0.842
36729,2016,1,1,1,23.0,2,3,2,0.0,0,1,0,0,0,0,0,1,0,32,0,1,0,1,1,6,3,60.0,59.4,0.0,40141.59,40833.24,0.898
36247,2016,1,1,2,14.5,2,1,2,0.0,0,1,0,0,0,0,0,1,2,44,0,0,0,1,2,6,3,98.0,97.02,0.0,28742.44,29668.86,0.842
39392,2016,1,1,2,15.0,2,1,2,0.0,0,1,0,0,0,0,91,1,0,150,0,0,0,1,2,6,6,101.0,99.99,1.0,28742.44,29668.86,0.842
28080,2016,1,1,2,15.0,1,1,2,0.0,0,1,0,0,0,0,0,0,0,44,0,0,0,1,1,6,6,2.0,1.98,0.0,28742.44,29668.86,0.842
17889,2016,1,1,2,15.0,2,1,2,0.0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,6,6,97.0,96.03,0.0,33525.74,34912.48,0.885
13789,2016,1,1,2,16.0,2,1,2,0.0,0,1,0,0,0,0,0,1,0,23,0,1,0,1,2,6,6,109.0,107.91,0.0,36194.87,36909.33,0.876
17738,2016,1,1,2,16.25,2,1,2,0.0,0,1,0,0,0,0,0,1,2,44,0,1,0,1,2,6,6,98.0,97.02,0.0,28742.44,29668.86,0.842
37433,2016,1,1,2,16.5,0,1,2,0.0,0,1,0,0,0,0,0,1,0,18,0,1,0,1,1,6,6,109.0,107.91,0.0,28742.44,29668.86,0.842
14067,2016,1,1,2,17.25,2,1,2,0.0,0,1,0,0,0,0,0,1,0,44,0,0,0,1,2,6,6,98.0,97.02,0.0,28742.44,29668.86,0.842
37585,2016,1,1,2,17.5,2,1,2,0.0,0,0,0,0,0,0,0,1,2,23,0,0,0,1,2,6,6,109.0,107.91,0.0,36194.87,36909.33,0.876
19728,2016,1,1,2,17.5,2,1,2,0.0,0,1,0,0,0,0,0,1,0,44,0,1,0,1,2,6,6,98.0,97.02,0.0,28742.44,29668.86,0.842
27425,2016,1,1,2,17.75,2,1,2,0.0,0,1,0,0,0,0,0,1,0,44,0,0,0,1,2,6,3,98.0,97.02,0.0,28742.44,29668.86,0.842
31002,2016,1,1,2,18.0,0,1,2,0.0,0,1,0,1,0,1,0,1,0,52,0,0,0,1,1,6,6,70.0,69.3,0.0,28742.44,29668.86,0.842
17810,2016,1,1,2,18.0,2,1,2,0.0,0,1,0,0,0,0,0,1,0,10,0,0,0,1,1,5,5,83.58,82.74419999999999,0.0,33525.74,34912.48,0.885
15575,2016,1,1,2,18.5,2,3,2,0.0,0,1,0,0,0,0,0,1,0,25,0,0,0,1,1,6,6,91.0,90.09,0.0,47011.55,47683.79,0.933
11563,2016,1,1,2,20.0,1,1,1,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,6,6,86.0,85.14,0.0,47011.55,47683.79,0.933
36584,2016,1,1,2,20.25,1,1,1,0.0,0,1,0,0,0,0,0,1,0,4,0,2,0,1,1,6,6,97.0,96.03,0.0,28742.44,29668.86,0.842
28541,2016,1,1,2,20.25,2,4,2,0.0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,2,6,6,86.32,85.45679999999999,0.0,40141.59,40833.24,0.898
19225,2016,1,1,2,20.75,2,2,2,0.0,0,1,0,0,0,0,0,1,0,12,0,1,0,1,1,6,6,92.0,91.08,0.0,16358.39,15813.86,0.757
10880,2016,1,1,2,21.5,2,1,1,0.0,0,1,0,0,0,0,0,1,1,4,0,0,0,1,2,6,6,87.0,86.13,0.0,36194.87,36909.33,0.876
37589,2016,1,1,2,21.5,2,1,2,0.0,0,1,0,0,0,0,0,1,0,4,0,0,0,1,2,6,6,109.0,107.91,0.0,36194.87,36909.33,0.876
15675,2016,1,1,2,22.0,2,3,1,0.0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,1,6,6,88.0,87.12,0.0,28742.44,29668.86,0.842
30882,2016,1,1,2,22.5,2,1,1,0.0,0,1,0,0,0,0,0,1,1,44,0,0,0,1,2,6,6,74.0,73.26,0.0,28742.44,29668.86,0.842
25458,2016,1,1,2,23.0,2,1,2,0.0,0,1,0,0,0,0,0,1,0,31,0,0,0,1,1,6,3,69.0,68.31,0.0,33525.74,34912.48,0.885
37648,2016,1,1,2,23.0,2,1,2,0.0,0,1,0,1,0,1,0,1,0,23,0,0,0,1,2,6,6,107.0,105.93,0.0,28742.44,29668.86,0.842
19325,2016,1,1,2,23.5,2,1,2,0.0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,6,3,97.0,96.03,0.0,33525.74,34912.48,0.885
34440,2016,1,1,2,23.5,2,1,2,0.0,0,1,0,0,0,0,0,1,2,44,0,0,0,1,2,6,3,98.0,97.02,0.0,36194.87,36909.33,0.876
28775,2016,1,1,2,23.5,2,2,2,0.0,0,1,0,0,0,0,0,1,0,4,0,0,0,1,1,6,6,99.0,98.01,0.0,40141.59,40833.24,0.898
29564,2016,1,1,2,23.75,1,1,2,0.0,0,1,0,0,0,0,0,1,0,6,1,1,0,1,1,3,3,123.0,121.77,0.0,33525.74,34912.48,0.885
37588,2016,1,2,3,16.25,2,1,2,2.0,0,1,0,0,0,0,0,1,2,1,0,0,0,1,1,6,1,92.0,91.08,0.0,40141.59,40833.24,0.898
32168,2016,1,2,3,16.5,2,1,2,0.0,0,1,0,0,0,0,85,1,0,145,0,0,0,1,1,6,6,65.0,64.35,1.0,28742.44,29668.86,0.842
36796,2016,1,2,3,17.0,1,0,1,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,6,2,81.0,80.19,0.0,28742.44,29668.86,0.842
17556,2016,1,2,3,17.25,1,0,2,0.0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,6,6,75.0,74.25,0.0,52550.79,53897.94,0.854
26619,2016,1,2,3,17.5,1,0,2,0.0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,1,3,3,79.6,78.80399999999999,0.0,28742.44,29668.86,0.842
26478,2016,1,2,3,19.25,2,0,2,0.0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,1,6,6,67.66,66.98339999999999,0.0,55032.96,56803.47,0.92
25047,2016,1,2,3,19.25,2,1,2,0.0,0,1,0,0,0,0,0,1,0,102,0,2,0,1,1,3,3,48.67,48.1833,0.0,47011.55,47683.79,0.933
19658,2016,1,2,3,19.75,2,0,2,0.0,0,1,0,0,0,0,0,1,0,2,1,0,0,1,1,6,6,80.6,79.794,0.0,33525.74,34912.48,0.885
15113,2016,1,2,3,21.75,2,2,2,0.0,0,1,0,0,0,0,0,1,0,66,1,0,0,1,1,6,6,106.0,104.94,0.0,28742.44,29668.86,0.842
33120,2016,1,2,3,22.0,1,0,2,0.0,0,1,0,0,0,0,0,1,4,31,0,1,0,1,1,5,5,71.52,70.8048,0.0,16358.39,15813.86,0.757
15501,2016,1,2,3,22.0,2,4,1,0.0,0,1,0,0,0,0,0,1,0,3,0,0,0,1,0,6,6,54.0,53.46,0.0,41757.4,42535.48,0.915
