bookingid,arrivalyear,arrivalmonth,arrivalweeknumber,arrivaldayofmonth,arrivalhour,weekendstays,weekdaystays,adults,children,babies,firsttimeguest,affiliatedcustomer,previousreservations,previousstays,previouscancellations,daysuntilconfirmation,onlinereservation,bookingchanges,bookingtoarrivaldays,parkingspacesbooked,specialrequests,partofgroup,orderedmealsperday,floorreserved,floorassigned,dailyrateeuros,dailyrateusd,percent_paid_in_advance,country_income_euros_y2,country_income_euros_y1,country_hdi_y1,totalstaydays,totalguests,childrenratio,babiesratio,hour,minute,arrivaltime,arrivaltimeofday,confirmationtoarrivaldays,isrepeatguest,incomechange
16833,2016,1,1,1,16.5,0,2,2,0,0,1,1,1,0,1,0,1,0,95,0,1,0,1,6,6,106.2,105.138,0.0,28742.44,29668.86,0.842,2,2,0.0,0.0,16,30,2016-01-01 16:30:00,afternoon,95,1,926.4200000000019
12997,2016,1,1,1,18.0,0,2,2,0,0,1,0,0,0,0,0,1,0,46,0,0,0,1,6,6,71.0,70.29,0.0,47011.55,47683.79,0.933,2,2,0.0,0.0,18,0,2016-01-01 18:00:00,evening,46,0,672.239999999998
14155,2016,1,1,1,18.75,0,2,2,0,0,1,0,0,0,0,0,1,0,30,0,1,0,0,6,6,92.0,91.08,0.0,55032.96,56803.47,0.92,2,2,0.0,0.0,18,45,2016-01-01 18:45:00,evening,30,0,1770.510000000002
20538,2016,1,1,1,19.0,2,2,2,2,0,1,0,0,0,0,0,1,0,25,0,0,0,1,5,5,178.25,176.4675,0.0,33525.74,34912.48,0.885,4,4,0.5,0.0,19,0,2016-01-01 19:00:00,evening,25,0,1386.7400000000052
33756,2016,1,1,1,20.0,0,1,2,0,0,1,0,0,0,0,0,1,1,119,0,0,0,1,6,6,74.25,73.5075,0.0,28742.44,29668.86,0.842,1,2,0.0,0.0,20,0,2016-01-01 20:00:00,evening,119,0,926.4200000000019
13118,2016,1,1,1,20.25,1,2,1,0,0,1,0,0,0,0,0,0,0,43,0,0,0,1,6,6,80.0,79.2,0.0,28742.44,29668.86,0.842,3,1,0.0,0.0,20,15,2016-01-01 20:15:00,evening,43,0,926.4200000000019
15665,2016,1,1,1,20.5,2,5,2,0,0,1,0,0,0,0,0,1,0,91,0,0,0,1,6,6,43.43,42.9957,0.0,28742.44,29668.86,0.842,7,2,0.0,0.0,20,30,2016-01-01 20:30:00,evening,91,0,926.4200000000019
10601,2016,1,1,1,20.75,0,1,2,0,0,1,0,0,0,0,0,0,0,43,0,0,0,1,6,6,107.0,105.93,0.0,33525.74,34912.48,0.885,1,2,0.0,0.0,20,45,2016-01-01 20:45:00,evening,43,0,1386.7400000000052
22766,2016,1,1,1,21.75,0,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,6,6,105.0,103.95,0.0,11460.35,11598.86,0.728,1,2,0.0,0.0,21,45,2016-01-01 21:45:00,evening,0,0,138.51000000000022
26845,2016,1,1,1,22.75,1,2,2,0,0,1,0,0,0,0,0,1,0,19,0,1,0,1,6,6,81.82,81.00179999999999,0.0,28742.44,29668.86,0.842,3,2,0.0,0.0,22,45,2016-01-01 22:45:00,evening,19,0,926.4200000000019
